B;C;D;E;F;G;H;I;J;K;L;M;N
TIME DAYY;DATE;MONTH;YEAR;DAY;DISTRICT;TYPES_OF_CAUSES;ALERT LEVEL;AMOUNT_DAMAGE;TEMPERATURE;TYPE_OF_ESTABLIHMENT;LATITUDE;LONGITUDE
4PM;40680;MAY;2011;Tuesday;Tondo;Under Investigation;4th Alarm;100,000.00;31;Electrical;14.588726;120.968597
7PM;40680;MAY;2011;Tuesday;San Miguel;Electrical connection;1st Alarm;200.00;31;Electrical;14.595383;120.992651
5AM;40681;MAY;2011;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;30.5;Electrical;14.580511;120.97998
4PM;40681;MAY;2011;Wednesday;Intramuros;Electrical connection;1st Alarm;200.00;30.5;Electrical;14.586282;120.976914
8PM;40681;MAY;2011;Wednesday;Quiapo;Electrical connection;1st Alarm;200.00;30.5;Electrical;14.595315;120.987977
10AM;40682;MAY;2011;Thursday;Santa Cruz;Electrical connection;1st Alarm;200.00;29.75;Residential;14.618536;120.984767
5PM;40682;MAY;2011;Thursday;Tondo;Electrical connection;1st Alarm;200.00;29.75;ReCom;14.60678;120.974883
3PM;40683;MAY;2011;Friday;Malate;Under Investigation;5th Alarm;1,500,000.00;29.5;Electrical;14.565854;120.99677
10PM;40683;MAY;2011;Friday;Pandacan;Cigarette Butt;1st Alarm;500.00;29.5;Electrical;14.589611;121.002998
10PM;40683;MAY;2011;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;29.5;Electrical;14.610801;120.985103
12AM;40684;MAY;2011;Saturday;Tondo;Electrical connection;1st Alarm;200.00;29.5;Electrical;14.623312;120.961557
6PM;40684;MAY;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;29.5;Residential;14.610556;120.998333
7PM;40684;MAY;2011;Saturday;Tondo;Electrical connection;1st Alarm;200.00;29.5;Residential;14.620565;120.965967
6PM;40685;MAY;2011;Sunday;Paco;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;1,000.00;29;Electrical;14.585407;120.9981
10PM;40685;MAY;2011;Sunday;Tondo;Alcohol Lamp Fire;1st Alarm;3,000.00;29;ReCom;14.624571;120.972972
4PM;40688;MAY;2011;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;28.25;Electrical;14.612737;120.97561
9AM;40689;MAY;2011;Thursday;Malate;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;1,000.00;28.5;Electrical;14.568914;120.9868
7PM;40689;MAY;2011;Thursday;Binondo;Electrical connection;1st Alarm;200.00;28.5;Electrical;14.597888;120.969903
9AM;40690;MAY;2011;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;28.5;ReCom;14.626438;120.983072
9AM;40691;MAY;2011;Saturday;Tondo;Electrical connection;1st Alarm;200.00;26.25;Electrical;14.620565;120.965967
1AM;40692;MAY;2011;Sunday;Quiapo;Under Investigation;3rd Alarm;500,000.00;27.25;Commercial;14.597826;120.9849
5PM;40692;MAY;2011;Sunday;Santa Cruz;Electrical connection;1st Alarm;200.00;27.25;Electrical;14.612128;120.982006
5PM;40692;MAY;2011;Sunday;Santa Ana;Under Investigation;3rd Alarm;50,000.00;27.25;Residential;14.573358;121.003234
8PM;40692;MAY;2011;Sunday;Tondo;Electrical connection;1st Alarm;200.00;27.25;Electrical;14.606229;120.965482
7PM;40693;MAY;2011;Monday;Sampaloc;Under Investigation;2nd Alarm;400,000.00;27.5;Electrical;14.597632;121.017609
10PM;40693;MAY;2011;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;27.5;Electrical;14.599238;121.017083
2PM;40694;MAY;2011;Tuesday;Binondo;Electrical connection;1st Alarm;1,000.00;31;Electrical;14.600875;120.968317
9PM;40694;MAY;2011;Tuesday;Sampaloc;Electrical connection;1st Alarm;1,000.00;31;Electrical;14.610556;120.998333
3AM;40695;JUNE;2011;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;30.25;Electrical;14.609119;121.003845
5AM;40695;JUNE;2011;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;30.25;Electrical;14.616748;120.992673
8AM;40695;JUNE;2011;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;30.25;Residential;14.622603;120.988623
10AM;40696;JUNE;2011;Thursday;Santa Cruz;Electrical connection;1st Alarm;200.00;30.25;Unclear;14.610357;120.97966
12PM;40696;JUNE;2011;Thursday;Pandacan;Under Investigation;1st Alarm;3,000.00;30.25;Electrical;14.580842;121.004756
11PM;40696;JUNE;2011;Thursday;Malate;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;30.25;Electrical;14.539488;121.004213
11AM;40698;JUNE;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;29.5;Electrical;14.598184;121.00384
7PM;40699;JUNE;2011;Sunday;Santa Cruz;Electrical connection;1st Alarm;200.00;31.25;Electrical;14.612099;120.982497
2PM;40700;JUNE;2011;Monday;Port Area;Electrical connection;2nd Alarm;200.00;30;Electrical;14.583404;120.972362
7PM;40701;JUNE;2011;Tuesday;Paco;Electrical connection;1st Alarm;200.00;30;Electrical;14.569707;120.98866
10PM;40701;JUNE;2011;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;30;Electrical;14.586074;120.982515
1PM;40702;JUNE;2011;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;26.25;Residential;14.620565;120.965967
8PM;40702;JUNE;2011;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;26.25;Residential;14.589969;120.969005
12AM;40703;JUNE;2011;Thursday;Ermita;Electrical connection;1st Alarm;1,000.00;25.5;Electrical;14.576489;120.988073
3AM;40703;JUNE;2011;Thursday;Ermita;Under Investigation;5th Alarm;300,000.00;25.5;Electrical;14.576489;120.988073
10AM;40703;JUNE;2011;Thursday;Pandacan;Electrical connection;1st Alarm;200.00;25.5;Electrical;14.587123;120.995779
9AM;40703;JUNE;2011;Thursday;Tondo;Electrical connection;1st Alarm;200.00;25.5;Electrical;14.599512;120.98422
8AM;40707;JUNE;2011;Monday;Santa Ana;Electrical connection;1st Alarm;200.00;30.75;Electrical;14.569018;120.987722
1AM;40708;JUNE;2011;Tuesday;Santa Cruz;Electrical connection;1st Alarm;200.00;29.25;Residential;14.6051;120.982819
5AM;40709;JUNE;2011;Wednesday;Santa Ana;Electrical connection;1st Alarm;200.00;30.25;Electrical;14.558765;120.997852
8AM;40710;JUNE;2011;Thursday;Tondo;Electrical connection;3rd Alarm;50,000.00;30.25;Rubbish;14.577215;121.004173
2PM;40710;JUNE;2011;Thursday;Binondo;Electrical connection;1st Alarm;200.00;30.25;Commercial;14.599299;120.977806
7PM;40711;JUNE;2011;Friday;Sampaloc;Cigarette Butt;1st Alarm;200.00;29.75;Rubbish;14.599319;121.011364
8AM;40712;JUNE;2011;Saturday;Intramuros;Under Investigation;4th Alarm;400,000.00;27.25;Unclear;14.588989;120.978342
8AM;40712;JUNE;2011;Saturday;Tondo;Cigarette Butt;1st Alarm;200.00;27.25;Electrical;14.606229;120.965482
1PM;40712;JUNE;2011;Saturday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;5,000.00;27.25;Residential;14.610556;120.998333
9AM;40713;JUNE;2011;Sunday;Paco;Electrical connection;1st Alarm;200.00;24.5;Residential;14.578754;121.001184
11AM;40713;JUNE;2011;Sunday;Tondo;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;1,000.00;24.5;Residential;14.61556;120.965946
3PM;40713;JUNE;2011;Sunday;Santa Cruz;Electrical connection;1st Alarm;200.00;24.5;Unclear;14.606207;120.984143
5PM;40713;JUNE;2011;Sunday;Tondo;Electrical connection;1st Alarm;3,000.00;24.5;Unclear;14.620565;120.965967
7PM;40713;JUNE;2011;Sunday;Tondo;Cigarette Butt;1st Alarm;200.00;24.5;Residential;14.620565;120.965967
10AM;40714;JUNE;2011;Monday;Santa Cruz;Battery-related / Cellphone / Charger;1st Alarm;200.00;25.75;Electrical;14.61299;120.980157
2PM;40715;JUNE;2011;Tuesday;Santa Cruz;Under Investigation;3rd Alarm;400,000.00;25.33;Vehicle;14.636051;120.982333
10AM;40716;JUNE;2011;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;27.25;Electrical;14.589229;120.982242
3AM;40717;JUNE;2011;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;25.5;Electrical;14.604745;120.999716
6AM;40717;JUNE;2011;Thursday;Tondo;Electrical connection;1st Alarm;200.00;25.5;Electrical;14.588726;120.968597
9AM;40717;JUNE;2011;Thursday;Ermita;Electrical connection;1st Alarm;200.00;25.5;Unclear;14.576409;120.987876
7PM;40717;JUNE;2011;Thursday;Santa Ana;Electrical connection;1st Alarm;200.00;25.5;Residential;14.472234;121.027931
11AM;40718;JUNE;2011;Friday;Pandacan;Electrical connection;1st Alarm;200.00;25;Electrical;14.589611;121.002998
3PM;40718;JUNE;2011;Friday;Binondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.599512;120.98422
5PM;40718;JUNE;2011;Friday;Binondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.601192;120.975007
9PM;40718;JUNE;2011;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;25;Electrical;14.472998;121.027911
10PM;40718;JUNE;2011;Friday;Santa Ana;Electrical connection;1st Alarm;200.00;25;Residential;14.472234;121.032203
2AM;40719;JUNE;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.610556;120.998333
6AM;40719;JUNE;2011;Saturday;Sampaloc;Under Investigation;1st Alarm;3,000.00;25;Residential;14.589567;121.01886
7AM;40719;JUNE;2011;Saturday;Malate;Electrical connection;1st Alarm;200.00;25;Electrical;14.570323;120.995169
8AM;40719;JUNE;2011;Saturday;San Miguel;Electrical connection;1st Alarm;400,000.00;25;Commercial;14.592184;120.989674
11AM;40719;JUNE;2011;Saturday;Pandacan;Electrical connection;1st Alarm;200.00;25;Electrical;14.589611;121.002998
2PM;40719;JUNE;2011;Saturday;Sampaloc;Under Investigation;4th Alarm;500,000.00;25;Electrical;14.610088;120.995614
1AM;40720;JUNE;2011;Sunday;Paco;Electrical connection;1st Alarm;200.00;27.5;Vehicle;14.585454;120.993855
1AM;40720;JUNE;2011;Sunday;Sampaloc;Electrical connection;1st Alarm;200.00;27.5;Electrical;14.596308;121.012331
10PM;40720;JUNE;2011;Sunday;Tondo;Electrical connection;1st Alarm;200.00;27.5;Electrical;14.620565;120.965967
10AM;40722;JUNE;2011;Tuesday;Quiapo;Electrical connection;1st Alarm;200.00;28.75;Electrical;14.596466;120.989593
7PM;40722;JUNE;2011;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;28.75;Vehicle;14.602511;121.013521
5PM;40723;JUNE;2011;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;28.75;Unclear;14.614108;120.982046
5PM;40723;JUNE;2011;Wednesday;Malate;Electrical connection;1st Alarm;1,000.00;31.33;Commercial;14.563011;120.994861
7PM;40723;JUNE;2011;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;31.33;Electrical;14.570978;120.981952
7PM;40723;JUNE;2011;Wednesday;Sampaloc;Open flame;1st Alarm;5,000.00;31.33;Vehicle;14.589567;121.01886
7PM;40723;JUNE;2011;Wednesday;Santa Ana;Electrical connection;1st Alarm;200.00;31.33;Electrical;14.581654;121.00566
9PM;40723;JUNE;2011;Wednesday;Sampaloc;Electrical connection;1st Alarm;1,000.00;31.33;Electrical;14.610556;120.998333
7AM;40723;JUNE;2011;Wednesday;Santa Ana;Electrical connection;1st Alarm;200.00;31.33;Electrical;14.590365;121.008691
2PM;40727;JULY;2011;Sunday;Sampaloc;Electrical connection;1st Alarm;200.00;26.75;Vehicle;14.601478;121.006325
4PM;40727;JULY;2011;Sunday;Santa Cruz;Electrical connection;1st Alarm;200.00;26.75;ReCom;14.618094;120.981594
2PM;40728;JULY;2011;Monday;Ermita;Electrical connection;1st Alarm;200.00;27.25;Commercial;14.575833;120.969167
5PM;40728;JULY;2011;Monday;Sampaloc;Electrical Appliances (kettle, stove, ref, flat iron) (except fan);1st Alarm;3,000.00;27.25;Residential;14.602161;120.99182
7AM;40729;JULY;2011;Tuesday;Tondo;Chimney Fire;1st Alarm;1,000.00;26.75;Electrical;14.594592;120.966728
10AM;40731;JULY;2011;Thursday;San Andres;Air-conditioned Fire/Air-cooler/Fan;2nd Alarm;20,000.00;26.75;Electrical;14.566085;120.998327
7AM;40733;JULY;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;25.75;Electrical;14.597632;121.017609
3PM;40733;JULY;2011;Saturday;Tondo;Electrical connection;1st Alarm;200.00;25.75;ReCom;14.609123;120.976656
12PM;40734;JULY;2011;Sunday;Sampaloc;Electrical connection;1st Alarm;200.00;25.75;Electrical;14.613523;121.000958
3PM;40736;JULY;2011;Tuesday;Paco;Electrical Appliances (kettle, stove, ref, flat iron) (except fan);1st Alarm;5,000.00;28.5;Electrical;14.579039;120.999215
7PM;40736;JULY;2011;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;28.5;Electrical;14.570978;120.981952
1AM;40737;JULY;2011;Wednesday;Malate;Electrical connection;1st Alarm;200.00;27.75;Electrical;14.570199;120.991585
10AM;40738;JULY;2011;Thursday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Rubbish;14.60726;120.979476
10PM;40738;JULY;2011;Thursday;Ermita;Electrical connection;1st Alarm;200.00;29;Unclear;14.599512;120.98422
10AM;40740;JULY;2011;Saturday;Sampaloc;Cigarette Butt;1st Alarm;200.00;30;Electrical;14.604398;120.999023
11AM;40740;JULY;2011;Saturday;Santa Ana;Under Investigation;4th Alarm;1,000,000.00;30;Electrical;14.472234;121.027931
3PM;40740;JULY;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;30;Electrical;14.613907;120.992968
7PM;40740;JULY;2011;Saturday;Paco;Electrical connection;1st Alarm;200.00;30;Electrical;14.579796;120.984488
9PM;40740;JULY;2011;Saturday;Tondo;Electrical connection;1st Alarm;200.00;30;Rubbish;14.620565;120.965967
3PM;40741;JULY;2011;Sunday;Tondo;Electrical connection;1st Alarm;200.00;29.5;Rubbish;14.630601;120.981429
5AM;40742;JULY;2011;Monday;Malate;Cigarette Butt;1st Alarm;200.00;30.25;Grass fire;14.5703;120.991563
11AM;40742;JULY;2011;Monday;Tondo;Cigarette Butt;1st Alarm;200.00;30.25;Residential;14.606363;120.964111
9PM;40742;JULY;2011;Monday;Santa Cruz;Cigarette Butt;1st Alarm;200.00;30.25;Electrical;14.618575;120.987386
4AM;40743;JULY;2011;Tuesday;Santa Cruz;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;3,000.00;30;ReCom;14.614305;120.983217
1PM;40743;JULY;2011;Tuesday;Binondo;Electrical connection;1st Alarm;200.00;30;Unclear;14.597943;120.976842
1PM;40743;JULY;2011;Tuesday;Pandacan;Electrical connection;1st Alarm;500.00;30;Electrical;14.592416;121.012839
6PM;40743;JULY;2011;Tuesday;Malate;Cigarette Butt;2nd Alarm;1,000.00;30;Residential;14.568183;121.005334
11AM;40744;JULY;2011;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;29.25;Electrical;14.612044;120.983187
11AM;40744;JULY;2011;Wednesday;Tondo;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;500.00;29.25;Electrical;14.635378;120.975255
6AM;40746;JULY;2011;Friday;Paco;Electrical connection;1st Alarm;200.00;28;Vehicle;14.585454;120.993855
12PM;40746;JULY;2011;Friday;Tondo;Electrical connection;1st Alarm;200.00;28;Residential;14.620565;120.965967
9PM;40746;JULY;2011;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Electrical;14.616988;120.998513
7PM;40747;JULY;2011;Saturday;Santa Ana;Electrical Appliances (kettle, stove, ref, flat iron) (except fan);1st Alarm;1,000.00;28;Electrical;14.472234;121.027931
7PM;40748;JULY;2011;Sunday;San Andres;Electrical connection;1st Alarm;200.00;27;Electrical;14.572464;121.003405
6PM;40749;JULY;2011;Monday;Santa Cruz;Electrical connection;1st Alarm;200.00;27.25;Vehicle;14.611001;120.982419
2AM;40750;JULY;2011;Tuesday;Paco;Electrical connection;1st Alarm;200.00;25.5;Electrical;14.594031;120.998566
7PM;40750;JULY;2011;Tuesday;Malate;Electrical connection;1st Alarm;500.00;25.5;Commercial;14.561271;120.990999
7PM;40750;JULY;2011;Tuesday;Santa Ana;Electrical connection;1st Alarm;200.00;25.5;Electrical;14.472234;121.027931
12PM;40751;JULY;2011;Wednesday;Binondo;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;1,000.00;25.5;Electrical;14.597746;120.967455
2PM;40751;JULY;2011;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;25.5;Electrical;14.597849;120.98949
7AM;40752;JULY;2011;Thursday;Sampaloc;Electrical connection;not indicated;200.00;26.75;Electrical;14.610556;120.998333
5PM;40752;JULY;2011;Thursday;Sampaloc;Under Investigation;2nd Alarm;10,000.00;26.75;Electrical;14.597632;121.017609
9AM;40754;JULY;2011;Saturday;Malate;Electrical connection;1st Alarm;200.00;24.25;Electrical;14.5703;120.991563
12PM;40755;JULY;2011;Sunday;Paco;Electrical connection;1st Alarm;200.00;24.25;Residential;14.580259;120.995086
2PM;40755;JULY;2011;Sunday;Tondo;Electrical connection;1st Alarm;200.00;24.25;Residential;14.614613;120.961986
6PM;40755;JULY;2011;Sunday;Tondo;Other;1st Alarm;3,000.00;24.25;Residential;14.620565;120.965967
8PM;40755;JULY;2011;Sunday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;1,000.00;24.25;Vehicle;14.589567;121.01886
12PM;40757;AUGUST;2011;Tuesday;Tondo;Candle;1st Alarm;500.00;25.75;Electrical;14.620565;120.965967
6PM;40757;AUGUST;2011;Tuesday;Sampaloc;Electrical connection;1st Alarm;2,000.00;25.75;Residential;14.600117;121.016777
6AM;40758;AUGUST;2011;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;26.25;Electrical;14.600837;120.992603
8AM;40759;AUGUST;2011;Thursday;Tondo;Under Investigation;2nd Alarm;20,000.00;29.25;Vehicle;14.588726;120.968597
12PM;40759;AUGUST;2011;Thursday;Malate;Electrical connection;1st Alarm;200.00;29.25;Residential;14.570281;120.991531
12PM;40760;AUGUST;2011;Friday;Tondo;Other;1st Alarm;1,000.00;27.5;Commercial;14.588726;120.968597
10AM;40761;AUGUST;2011;Saturday;Tondo;Battery-related / Cellphone / Charger;3rd Alarm;200,000.00;26.5;Rubbish;14.611111;120.964722
12AM;40762;AUGUST;2011;Sunday;Sampaloc;Spontaneous combustion;1st Alarm;3,000.00;27;Residential;14.609616;121.008408
12PM;40762;AUGUST;2011;Sunday;Malate;Cigarette Butt;1st Alarm;200.00;27;Commercial;14.58002;120.98596
2PM;40762;AUGUST;2011;Sunday;Binondo;Candle;3rd Alarm;200,000.00;27;Electrical;14.601419;120.97085
4PM;40762;AUGUST;2011;Sunday;Tondo;Electrical connection;1st Alarm;200.00;27;Commercial;14.624746;120.978334
8AM;40763;AUGUST;2011;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;27.5;Electrical;14.610556;120.998333
4PM;40765;AUGUST;2011;Wednesday;Santa Cruz;Cigarette Butt;1st Alarm;200.00;28.5;Electrical;14.611994;120.983881
1AM;40766;AUGUST;2011;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;28.5;Commercial;14.605865;120.999671
7PM;40766;AUGUST;2011;Thursday;San Miguel;Electrical connection;1st Alarm;200.00;28.5;Electrical;14.594161;120.991571
7PM;40766;AUGUST;2011;Thursday;Tondo;Under Investigation;1st Alarm;5,000.00;28.5;Electrical;14.620565;120.965967
8PM;40766;AUGUST;2011;Thursday;Tondo;Electrical connection;1st Alarm;200.00;28.5;Electrical;14.620565;120.965967
12PM;40767;AUGUST;2011;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;28.75;Commercial;14.602511;121.013521
8AM;40769;AUGUST;2011;Sunday;Binondo;Electrical connection;1st Alarm;200.00;28.25;Residential;14.601192;120.975007
5PM;40769;AUGUST;2011;Sunday;Santa Cruz;Under Investigation;2nd Alarm;200,000.00;28.25;Electrical;14.601957;120.981749
10PM;40769;AUGUST;2011;Sunday;Santa Cruz;Other;1st Alarm;5,000.00;28.25;Electrical;14.607698;120.98286
5AM;40771;AUGUST;2011;Tuesday;Santa Cruz;Electrical connection;1st Alarm;200.00;27;Electrical;14.621853;120.9824
7PM;40771;AUGUST;2011;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.620565;120.965967
7PM;40771;AUGUST;2011;Tuesday;Santa Ana;Electrical connection;1st Alarm;200.00;27;Electrical;14.472234;121.027931
11AM;40772;AUGUST;2011;Wednesday;Paco;Electrical connection;1st Alarm;200.00;27.75;Residential;14.584227;120.998763
5PM;40773;AUGUST;2011;Thursday;Quiapo;Electrical connection;1st Alarm;200.00;28.5;Electrical;14.597093;120.985468
2PM;40776;AUGUST;2011;Sunday;San Nicolas;Electrical connection;1st Alarm;200.00;28;Electrical;14.585454;120.993855
3AM;40777;AUGUST;2011;Monday;San Nicolas;Electrical connection;1st Alarm;200.00;28.25;Electrical;14.598941;120.96911
7AM;40777;AUGUST;2011;Monday;Quiapo;Electrical connection;1st Alarm;200.00;28.25;ReCom;14.600449;120.990415
5PM;40777;AUGUST;2011;Monday;Santa Cruz;Electrical connection;1st Alarm;200.00;28.25;Electrical;14.612897;120.985647
10PM;40777;AUGUST;2011;Monday;Paco;Electrical connection;1st Alarm;5,000.00;28.25;Electrical;14.573406;120.994032
11PM;40777;AUGUST;2011;Monday;Santa Cruz;Electrical connection;1st Alarm;200.00;28.25;Electrical;14.601957;120.981749
6PM;40779;AUGUST;2011;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;28.25;Electrical;14.610556;120.998333
7PM;40780;AUGUST;2011;Thursday;Malate;Electrical connection;1st Alarm;200.00;27.5;Electrical;14.5907;120.981892
2PM;40783;AUGUST;2011;Sunday;Paco;Electrical connection;1st Alarm;200.00;26.75;Electrical;14.575512;120.995732
5PM;40783;AUGUST;2011;Sunday;Sampaloc;Electrical connection;1st Alarm;200.00;26.75;Residential;14.60162;121.00507
8PM;40783;AUGUST;2011;Sunday;Pandacan;Electrical connection;1st Alarm;200.00;26.75;Electrical;14.590936;121.012374
5PM;40784;AUGUST;2011;Monday;Sampaloc;Matress Fire;1st Alarm;500.00;28;Residential;14.610556;120.998333
5AM;40790;SEPTEMBER;2011;Sunday;Santa Ana;Electrical connection;1st Alarm;200.00;28;Residential;14.578889;121.012901
11PM;40790;SEPTEMBER;2011;Sunday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Residential;14.614334;120.995621
2AM;40792;SEPTEMBER;2011;Tuesday;Sampaloc;Electrical Appliances (kettle, stove, ref, flat iron) (except fan);1st Alarm;200.00;28.25;Electrical;14.60349;120.983545
12PM;40793;SEPTEMBER;2011;Wednesday;San Miguel;Electrical Appliances (kettle, stove, ref, flat iron) (except fan);1st Alarm;200.00;27.25;Residential;14.620298;120.963696
5PM;40793;SEPTEMBER;2011;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;27.25;Electrical;14.579365;120.983868
9PM;40793;SEPTEMBER;2011;Wednesday;Paco;Under Investigation;2nd Alarm;50,000.00;27.25;Electrical;14.585454;120.993855
