date,cause,temp,district
10AM 3-Oct-11,Electrical connection,26.5,Pandacan
12PM 3-Oct-11,Electrical connection,26.5,Sampaloc
5PM 3-Oct-11,Electrical connection,26.5,Pandacan
10PM 3-Oct-11,Electrical connection,26.5,Sampaloc
2PM 5-Oct-11,Cigarette Butt,26.75,Sampaloc
6PM 7-Oct-11,Electrical connection,26.75,Sampaloc
7PM 8-Oct-11,Candle,25.5,Sampaloc
5AM 9-Oct-11,Under Investigation,26,Santa Cruz
7PM 9-Oct-11,Electrical connection,26,Sampaloc
11AM 10-Oct-11,Electrical connection,28.5,Sampaloc
9AM 11-Oct-11,Electrical connection,27.5,Sampaloc
8PM 12-Oct-11,Electrical connection,27.75,Santa Cruz
9PM 12-Oct-11,Electrical connection,27.75,Santa Cruz
11AM 13-Oct-11,Electrical connection,26,Santa Ana
2PM 13-Oct-11,Under Investigation,26,Tondo
12PM 14-Oct-11,Under Investigation,27.5,San Miguel
7PM 14-Oct-11,Cigarette Butt,27.5,Sampaloc
7PM 14-Oct-11,Electrical connection,27.5,Santa Cruz
